Title,Check & Update,Does Order Exist?,Does Shipping Record Exist?,Does Invoice Record Exist?,invoice sent to buyer?,Purchase Order num.,Line,Shipment Number (Buyer Ref.),Delivery Value,Currency,Arrival Date at Port,Incoterms,Item Description,Container Number,Bill of Lading (TrackingID),Container Type,Unit's code (Buyers Ref.),Quantity in Container (Cartons),Quantity in Container (Units / 🚢),Supplier's number,Country of supplier,Warehouse of destination,Food's Broker number,Port of Origin,Food's Broker fee per line,Custom/ Taarif's code,Shipping Company,Food's Broker name,Supplier's name,Forwarder's name,Forwarder's Case Number/ ID,Units per Carton,SeaPort of destination,Unit's weight (Gross),Net order value,Buyer's name (Contact),Buyer's name (Category manager)
"115297, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,20,29316,,EUR,30/7/2024,FOB,TOMATO PASTA SAUCE BASE FOR BOLOGNSE 350,MCLU3073846,BORUWSB427GEHF03,Y020,7296073180449,"1,564.000",18768,110731,IT,6030,204776,SALERNO,,210320008,LUCY BORCHARD,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,12,HAIFA,0.35,,,
"115297, 50",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,50,29316,,EUR,30/7/2024,FOB,TOMATO PASTA SAUCE BASE FOR BOLOGNSE 350,MCLU3066549,BORUWSB427GEHF03,Y020,7296073180449,788.000,9456,110731,IT,6030,204776,SALERNO,,210320008,LUCY BORCHARD,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,12,HAIFA,0.35,,,
"115297, 60",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,60,29316,,EUR,30/7/2024,FOB,Neapolitan sauce 350 gr,MCLU3066549,BORUWSB427GEHF03,Y020,7296073529934,534.000,6408,110731,IT,6030,204776,SALERNO,,2103200000,LUCY BORCHARD,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,12,HAIFA,0.35,,,
"115297, 70",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,70,29316,,EUR,30/7/2024,FOB,TOMATO PASTA SAUCE WITH BASILICO 350 GR,MCLU3066549,BORUWSB427GEHF03,Y020,7296073180432,"1,040.000",12480,110731,IT,6030,204776,SALERNO,,210320008,LUCY BORCHARD,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,12,HAIFA,0.35,,,
"115297, 80",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115297,80,29316,,EUR,30/7/2024,FOB,TOMATO PASTA SAUCE GARLIC 350 GR.,MCLU3066549,BORUWSB427GEHF03,Y020,7296073180425,788.000,9456,110731,IT,6030,204776,SALERNO,,210320008,LUCY BORCHARD,"פודז .אקס בע""מ",LA DORIA S.p.A,ORIAN,,12,HAIFA,0.35,,,
"115320, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115320,10,29318,,EUR,8/12/2024,EXW,parsnip sweet potato&beetroot chips 85gr,GAOU6107424,ME-24093411,Y40H,7296073406617,490.000,5880,112147,ES,6030,204776,TARRAGONA,,2005999000,ZIM,"פודז .אקס בע""מ",Viube foods,ORIAN,,12,HAIFA_BAY,0.085,,,
"115320, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115320,20,29318,,EUR,8/12/2024,EXW,orange sweet potato&purple sweet chips85,GAOU6107424,ME-24093411,Y40H,7296073406600,630.000,7560,112147,ES,6030,204776,TARRAGONA,,2008999000,ZIM,"פודז .אקס בע""מ",Viube foods,ORIAN,,12,HAIFA_BAY,0.085,,,
"115320, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115320,30,29318,,EUR,8/12/2024,EXW,striped beetroot&white potato chips 85gr,GAOU6107424,ME-24093411,Y40H,7296073406624,350.000,4200,112147,ES,6030,204776,TARRAGONA,,2008999000,ZIM,"פודז .אקס בע""מ",Viube foods,ORIAN,,12,HAIFA_BAY,0.085,,,
"115367, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115367,10,29323,36779.4,EUR,22/9/2024,EXW,CORNFLAKES SHUFERSAL 750 GR.,MSMU6991480,DKCPH20-24001598,Y40H,7296073150527,,,110397,DK,6030,204776,,"1,287.28",190410001,MSC (ISRAEL) LTD,"פודז .אקס בע""מ",CRISPY FOOD,ORIAN,,,HAIFA,,,,
"115367, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115367,10,29323,36779.4,EUR,22/9/2024,EXW,CORNFLAKES SHUFERSAL 750 GR.,MSDU5602593,DKCPH20-24001598,Y40H,7296073150527,,,110397,DK,6030,204776,,"1,287.28",190410001,MSC (ISRAEL) LTD,"פודז .אקס בע""מ",CRISPY FOOD,ORIAN,,,HAIFA,,,,
"115367, 10",Yes,Order Exists,Shipping Record Exists,Invoice Record Exists,No,115367,10,29323,36779.4,EUR,22/9/2024,EXW,CORNFLAKES SHUFERSAL 750 GR.,MSDU5986185,DKCPH20-24001598,Y40H,7296073150527,,,110397,DK,6030,204776,,"1,287.28",190410001,MSC (ISRAEL) LTD,"פודז .אקס בע""מ",CRISPY FOOD,ORIAN,,,HAIFA,,,,
